number	source_path	title	obsolete	reason	domain	status_line	preview
0017	docs/archive/adr/from-docs-adr/0017-treasurer-controlled-user-provisioning.md	User provisioning remains Treasurer-controlled	False		identity-auth	Status: accepted	# User provisioning remains Treasurer-controlled Status: accepted
0018	docs/archive/adr/from-docs-adr/0018-manual-claimant-identity-before-attendance-integration.md	Claimant identity is manually entered before attendance integration	False		claims	Status: accepted	# Claimant identity is manually entered before attendance integration Status: accepted
0019	docs/archive/adr/from-docs-adr/0019-conditional-claim-payment-methods.md	Claim payment details use conditional methods	False		claims	Status: accepted	# Claim payment details use conditional methods Status: accepted
0020	docs/archive/adr/from-docs-adr/0020-abandon-legacy-payout-methods.md	Legacy payout methods are abandoned	False		payout	Status: accepted	# Legacy payout methods are abandoned Status: accepted
0021	docs/archive/adr/from-docs-adr/0021-multiple-receipts-per-claim.md	Claims may have multiple purchase receipts	False		claims	Status: accepted	# Claims may have multiple purchase receipts Status: accepted
0022	docs/archive/adr/from-docs-adr/0022-hkd-only-claims.md	Claims use HKD only	False		payout	Status: accepted	# Claims use HKD only Status: accepted
0023	docs/archive/adr/from-docs-adr/0023-manual-claim-amount.md	Claim amount is manually entered	False		claims	Status: accepted	# Claim amount is manually entered Status: accepted
0024	docs/archive/adr/from-docs-adr/0024-optional-receipt-metadata.md	Receipt metadata is optional at intake	False		architecture-deploy	Status: accepted	# Receipt metadata is optional at intake Status: accepted
0025	docs/archive/adr/from-docs-adr/0025-receipt-and-payment-file-contract.md	Receipt and payment files use a bounded upload contract	False		payout	Status: accepted	# Receipt and payment files use a bounded upload contract Status: accepted
0026	docs/archive/adr/from-docs-adr/0026-atomic-claim-and-receipt-submission.md	Claim and receipt submission is atomic from the operator’s perspective	False		claims	Status: accepted	# Claim and receipt submission is atomic from the operator’s perspective Status: accepted
0027	docs/archive/adr/from-docs-adr/0027-budget-availability-does-not-block-intake.md	Budget availability does not block claim intake	False		budget	Status: accepted	# Budget availability does not block claim intake Status: accepted
0028	docs/archive/adr/from-docs-adr/0028-treasurer-resolves-over-budget-claims.md	Treasurer resolves over-budget claims before payout	False		budget	Status: accepted	# Treasurer resolves over-budget claims before payout Status: accepted
0029	docs/archive/adr/from-docs-adr/0029-committee-budget-requests-treasurer-decisions.md	Committee creates budget requests and Treasurer decides	False		budget	Status: accepted	# Committee creates budget requests and Treasurer decides Status: accepted
0030	docs/archive/adr/from-docs-adr/0030-multiple-budget-lines-per-request.md	Budget Requests contain multiple Budget Lines	False		budget	Status: accepted	# Budget Requests contain multiple Budget Lines Status: accepted
0031	docs/archive/adr/from-docs-adr/0031-budget-request-needs-info-loop.md	Budget Requests can be revised after an information request	False		budget	Status: accepted	# Budget Requests can be revised after an information request Status: accepted
0032	docs/archive/adr/from-docs-adr/0032-budget-line-decisions-are-independent.md	Budget Line decisions are independent	False		budget	Status: accepted	# Budget Line decisions are independent Status: accepted
0033	docs/archive/adr/from-docs-adr/0033-one-budget-line-per-claim.md	Each Claim selects one Budget Line	False		budget	Status: accepted	# Each Claim selects one Budget Line Status: accepted
0034	docs/archive/adr/from-docs-adr/0034-delayed-event-linking.md	Claims may be linked to Events later	False		architecture-deploy	Status: accepted	# Claims may be linked to Events later Status: accepted
0035	docs/archive/adr/from-docs-adr/0035-state-based-event-association-edits.md	Event association follows Claim mutability	False		architecture-deploy	Status: accepted	# Event association follows Claim mutability Status: accepted
0036	docs/archive/adr/from-docs-adr/0036-sid-required-name-optional.md	SID is required and Claimant name is optional	False		claims	Status: accepted	# SID is required and Claimant name is optional Status: accepted
0037	docs/archive/adr/from-docs-adr/0037-one-payout-per-claim.md	Each Claim produces one payout	False		payout	Status: accepted	# Each Claim produces one payout Status: accepted
0038	docs/archive/adr/from-docs-adr/0038-manual-payout-recording-and-confirmation.md	Payouts are recorded and confirmed manually	False		payout	Status: accepted	# Payouts are recorded and confirmed manually Status: accepted
0039	docs/archive/adr/from-docs-adr/0039-payout-uses-saved-claim-payment-details.md	Payouts use the Claim’s saved payment details	False		claims	Status: accepted	# Payouts use the Claim’s saved payment details Status: accepted
0040	docs/archive/adr/from-docs-adr/0040-no-self-verification.md	Claim creators cannot verify their own Claims	False		review-approval	Status: accepted	# Claim creators cannot verify their own Claims Status: accepted
0041	docs/archive/adr/from-docs-adr/0041-committee-or-treasurer-may-reject.md	Committee or Treasurer may reject Claims	False		review-approval	Status: accepted	# Committee or Treasurer may reject Claims Status: accepted
0042	docs/archive/adr/from-docs-adr/0042-discord-notice-for-claim-information-requests.md	Information requests notify a Discord role	False		claims	Status: accepted	# Information requests notify a Discord role Status: accepted
0043	docs/archive/adr/from-docs-adr/0043-configurable-discord-follow-up-role.md	Discord follow-up role is spreadsheet-configured	False		architecture-deploy	Status: accepted	# Discord follow-up role is spreadsheet-configured Status: accepted
0045	docs/archive/adr/from-docs-adr/0045-discord-delivery-does-not-block-workflow.md	Discord delivery does not block Claim workflow	False		architecture-deploy	Status: accepted	# Discord delivery does not block Claim workflow Status: accepted
0046	docs/archive/adr/from-docs-adr/0046-authorized-operators-see-full-payment-details.md	Authorized operators may view full Claim payment details	False		payout	Status: accepted	# Authorized operators may view full Claim payment details Status: accepted
0047	docs/archive/adr/from-docs-adr/0047-full-audit-history-for-authorized-operators.md	Authorized operators can view full Claim audit history	False		identity-auth	Status: accepted	# Authorized operators can view full Claim audit history Status: accepted
0048	docs/archive/adr/from-docs-adr/0048-shared-committee-queues.md	Committee work uses shared queues	False		architecture-deploy	Status: accepted	# Committee work uses shared queues Status: accepted
0049	docs/archive/adr/from-docs-adr/0049-shared-queues-cover-all-finance-workflows.md	Shared queues cover all finance workflows	False		architecture-deploy	Status: accepted	# Shared queues cover all finance workflows Status: accepted
0050	docs/archive/adr/from-docs-adr/0050-treasurer-only-semester-close.md	Semester close is Treasurer-only	False		semester-annual	Status: accepted	# Semester close is Treasurer-only Status: accepted
0051	docs/archive/adr/from-docs-adr/0051-semester-close-blockers.md	Unresolved finance work blocks Semester Close	False		semester-annual	Status: accepted	# Unresolved finance work blocks Semester Close Status: accepted
0052	docs/archive/adr/from-docs-adr/0052-committee-records-treasurer-approves-income.md	Committee records Income and Treasurer approves it	False		accounts-income	Status: accepted	# Committee records Income and Treasurer approves it Status: accepted
0053	docs/archive/adr/from-docs-adr/0053-pending-income-excluded-from-balances.md	Pending Income is excluded from approved balances	False		accounts-income	Status: accepted	# Pending Income is excluded from approved balances Status: accepted
0054	docs/archive/adr/from-docs-adr/0054-income-review-and-correction-loop.md	Income supports Treasurer review and correction	False		accounts-income	Status: accepted	# Income supports Treasurer review and correction Status: accepted
0055	docs/archive/adr/from-docs-adr/0055-reports-and-csv-exports.md	Web app provides finance reports and CSV exports	False		architecture-deploy	Status: accepted	# Web app provides finance reports and CSV exports Status: accepted
0056	docs/archive/adr/from-docs-adr/0056-online-only-v1.md	V1 is online-only	False		architecture-deploy	Status: accepted	# V1 is online-only Status: accepted
0057	docs/archive/adr/from-docs-adr/0057-mobile-first-browser-support.md	The committee web app is mobile-first	False		architecture-deploy	Status: accepted	# The committee web app is mobile-first Status: accepted
0058	docs/archive/adr/from-docs-adr/0058-mobile-and-desktop-receipt-picker.md	Receipt intake supports mobile and desktop file selection	False		architecture-deploy	Status: accepted	# Receipt intake supports mobile and desktop file selection Status: accepted
0059	docs/archive/adr/from-docs-adr/0059-accessing-user-web-deployment.md	Apps Script web app runs as the accessing user	False		architecture-deploy	Status: accepted	# Apps Script web app runs as the accessing user Status: accepted
0060	docs/archive/adr/from-docs-adr/0060-users-sheet-is-the-access-allowlist.md	The Users sheet is the access allowlist	False		identity-auth	Status: accepted	# The Users sheet is the access allowlist Status: accepted
0061	docs/archive/adr/from-docs-adr/0061-multiple-active-treasurers.md	Multiple active Treasurers are supported	False		architecture-deploy	Status: accepted	# Multiple active Treasurers are supported Status: accepted
0062	docs/archive/adr/from-docs-adr/0062-separate-claim-and-budget-request-flows.md	Claims and Budget Requests use separate UI flows	False		claims	Status: accepted	# Claims and Budget Requests use separate UI flows Status: accepted
0063	docs/archive/adr/from-docs-adr/0063-swipeable-mobile-dashboard-views.md	Dashboard uses swipeable mobile views	False		architecture-deploy	Status: accepted	# Dashboard uses swipeable mobile views Status: accepted
0064	docs/archive/adr/from-docs-adr/0064-curated-dashboard-views.md	Dashboard views are curated operational views	False		architecture-deploy	Status: accepted	# Dashboard views are curated operational views Status: accepted
0065	docs/archive/adr/from-docs-adr/0065-stepper-based-mobile-claim-form.md	New Claim uses a mobile stepper	False		claims	Status: accepted	# New Claim uses a mobile stepper Status: accepted
0066	docs/archive/adr/from-docs-adr/0066-draft-claims-are-resumable.md	Claims may be saved as Drafts	False		claims	Status: accepted	# Claims may be saved as Drafts Status: accepted
0067	docs/archive/adr/from-docs-adr/0067-drafts-are-private-until-submission.md	Draft Claims remain private until submission	False		claims	Status: accepted	# Draft Claims remain private until submission Status: accepted
0068	docs/archive/adr/from-docs-adr/0068-draft-claims-can-be-discarded.md	Draft Claims can be discarded	False		claims	Status: accepted	# Draft Claims can be discarded Status: accepted
0069	docs/archive/adr/from-docs-adr/0069-step-based-draft-saving.md	Drafts save at explicit workflow boundaries	False		semester-annual	Status: accepted	# Drafts save at explicit workflow boundaries Status: accepted
0070	docs/archive/adr/from-docs-adr/0070-draft-files-upload-at-final-submission.md	Draft files upload only at final submission	False		claims	Status: accepted	# Draft files upload only at final submission Status: accepted
0071	docs/archive/adr/from-docs-adr/0071-draft-budget-requests.md	Budget Requests support private Drafts	False		budget	Status: accepted	# Budget Requests support private Drafts Status: accepted
0072	docs/archive/adr/from-docs-adr/0072-stepper-based-budget-request-form.md	New Budget Request uses a mobile stepper	False		budget	Status: accepted	# New Budget Request uses a mobile stepper Status: accepted
0073	docs/archive/adr/from-docs-adr/0073-committee-event-management-treasurer-oversight.md	Committee manages Events with Treasurer oversight	False		architecture-deploy	Status: accepted	# Committee manages Events with Treasurer oversight Status: accepted
0074	docs/archive/adr/from-docs-adr/0074-treasurer-controls-categories-and-caps.md	Treasurer controls Categories and semester caps	False		architecture-deploy	Status: accepted	# Treasurer controls Categories and semester caps Status: accepted
0075	docs/archive/adr/from-docs-adr/0075-future-member-accounts-and-attendance.md	Member accounts and attendance are future landing-page capabilities	False		architecture-deploy	Status: accepted	# Member accounts and attendance are future landing-page capabilities Status: accepted
0076	docs/archive/adr/from-docs-adr/0076-member-accounts-are-app-managed.md	Future Member Accounts do not require Google identity	False		architecture-deploy	Status: accepted	# Future Member Accounts do not require Google identity Status: accepted
0077	docs/archive/adr/from-docs-adr/0077-defer-member-registration-proof.md	Future member registration proof is deferred	False		architecture-deploy	Status: accepted	# Future member registration proof is deferred Status: accepted
0078	docs/archive/adr/from-docs-adr/0078-spreadsheet-only-role-promotion.md	Role promotion remains spreadsheet-only	False		identity-auth	Status: accepted	# Role promotion remains spreadsheet-only Status: accepted
0079	docs/archive/adr/from-docs-adr/0079-spreadsheet-owner-controls-role-flags.md	Spreadsheet Owner controls future role flags	False		identity-auth	Status: accepted	# Spreadsheet Owner controls future role flags Status: accepted
0080	docs/archive/adr/from-docs-adr/0080-claim-note-is-required.md	Claim purpose note is required	False		claims	Status: accepted	# Claim purpose note is required Status: accepted
0081	docs/archive/adr/from-docs-adr/0081-claim-expense-date-is-required.md	Claim Expense Date is required	False		claims	Status: accepted	# Claim Expense Date is required Status: accepted
0082	docs/archive/adr/from-docs-adr/0082-same-operator-reuses-hashed-receipts.md	Same-operator duplicate Receipts are reused	False		architecture-deploy	Status: accepted	# Same-operator duplicate Receipts are reused Status: accepted
0083	docs/archive/adr/from-docs-adr/0083-receipt-total-caps-split-claims.md	Receipt totals cap split Claims when available	False		claims	Status: accepted	# Receipt totals cap split Claims when available Status: accepted
0084	docs/archive/adr/from-docs-adr/0084-separate-payment-qr-storage.md	Payment QR Codes use separate storage from Receipts	False		payout	Status: accepted	# Payment QR Codes use separate storage from Receipts Status: accepted
0085	docs/archive/adr/from-docs-adr/0085-strict-payment-method-validation.md	Payment methods require complete conditional details	False		payout	Status: accepted	# Payment methods require complete conditional details Status: accepted
0086	docs/archive/adr/from-docs-adr/0086-hong-kong-phone-validation.md	FPS and PayMe use normalized Hong Kong phone numbers	False		payout	Status: accepted	# FPS and PayMe use normalized Hong Kong phone numbers Status: accepted
0087	docs/archive/adr/from-docs-adr/0087-free-form-fps-destination-account.md	FPS destination accounts are free-form	False		payout	Status: accepted	# FPS destination accounts are free-form Status: accepted
0088	docs/archive/adr/from-docs-adr/0088-scoped-discord-notifications.md	Discord notifications are scoped to actionable events	False		architecture-deploy	Status: accepted	# Discord notifications are scoped to actionable events Status: accepted
0089	docs/archive/adr/from-docs-adr/0089-repository-driven-apps-script-deployment.md	Production deployment is repository-driven	False		architecture-deploy	Status: accepted	# Production deployment is repository-driven Status: accepted
0090	docs/archive/adr/from-docs-adr/0090-explicit-production-release-approval.md	Production releases require explicit approval	False		architecture-deploy	Status: accepted	# Production releases require explicit approval Status: accepted
0091	docs/archive/adr/from-docs-adr/0091-separate-staging-environment.md	Staging is separate from production	False		architecture-deploy	Status: accepted	# Staging is separate from production Status: accepted
0092	docs/archive/adr/from-docs-adr/0092-split-runtime-configuration-by-sensitivity.md	Runtime configuration is split by sensitivity	False		architecture-deploy	Status: accepted	# Runtime configuration is split by sensitivity Status: accepted
0093	docs/archive/adr/from-docs-adr/0093-year-folder-and-next-semester-file-provisioning.md	Semester Close provisions the next Drive location	False		semester-annual	Status: accepted	# Semester Close provisions the next Drive location Status: accepted
0094	docs/archive/adr/from-docs-adr/0094-one-annual-spreadsheet.md	One spreadsheet covers an academic year	False		semester-annual	Status: accepted	# One spreadsheet covers an academic year Status: accepted
0095	docs/archive/adr/from-docs-adr/0095-three-semester-periods-per-year.md	Each academic year has three semester periods	False		semester-annual	Status: accepted	# Each academic year has three semester periods Status: accepted
0096	docs/archive/adr/from-docs-adr/0096-semester-sequence-and-annual-rollover.md	Semester Close follows a three-period sequence	False		semester-annual	Status: accepted	# Semester Close follows a three-period sequence Status: accepted
0097	docs/archive/adr/from-docs-adr/0097-interactive-annual-migration-wizard.md	Annual rollover uses an interactive Treasurer migration wizard	False		semester-annual	Status: accepted	# Annual rollover uses an interactive Treasurer migration wizard Status: accepted
0098	docs/archive/adr/from-docs-adr/0098-finance-accounts-track-money-in-and-out.md	Finance Accounts track balances and cash movement	False		accounts-income	Status: accepted	# Finance Accounts track balances and cash movement Status: accepted
0099	docs/archive/adr/from-docs-adr/0099-finance-account-lifecycle.md	Treasurer manages Finance Account lifecycle	False		accounts-income	Status: accepted	# Treasurer manages Finance Account lifecycle Status: accepted
0100	docs/archive/adr/from-docs-adr/0100-approved-income-updates-account-balance.md	Approved Income updates its Finance Account automatically	False		accounts-income	Status: accepted	# Approved Income updates its Finance Account automatically Status: accepted
0101	docs/archive/adr/from-docs-adr/0101-payout-deducts-balance-when-sent.md	Payouts deduct balances when sent	False		payout	Status: accepted	# Payouts deduct balances when sent Status: accepted
0102	docs/archive/adr/from-docs-adr/0102-audited-account-adjustments.md	Balance discrepancies use audited Account Adjustments	False		accounts-income	Status: accepted	# Balance discrepancies use audited Account Adjustments Status: accepted
0103	docs/archive/adr/from-docs-adr/0103-account-links-are-role-controlled.md	Finance Account links are role-controlled	False		accounts-income	Status: accepted	# Finance Account links are role-controlled Status: accepted
0104	docs/archive/adr/from-docs-adr/0104-treasurer-account-transfers.md	Treasurer can transfer funds between Finance Accounts	False		accounts-income	Status: accepted	# Treasurer can transfer funds between Finance Accounts Status: accepted
0105	docs/archive/adr/from-docs-adr/0105-annual-member-migration-preserves-history.md	Annual member migration preserves identity and history	False		semester-annual	Status: accepted	# Annual member migration preserves identity and history Status: accepted
0106	docs/archive/adr/from-docs-adr/0106-committee-adds-new-members.md	Committee Operators can add new Member records	False		architecture-deploy	Status: accepted	# Committee Operators can add new Member records Status: accepted
0107	docs/archive/adr/from-docs-adr/0107-annual-migration-preselects-accounts.md	Annual migration preselects active Finance Accounts	False		semester-annual	Status: accepted	# Annual migration preselects active Finance Accounts Status: accepted
0108	docs/archive/adr/from-docs-adr/0108-staged-annual-migration-activation.md	Annual Migration activates only after Treasurer confirmation	False		semester-annual	Status: accepted	# Annual Migration activates only after Treasurer confirmation Status: accepted
0109	docs/archive/adr/from-docs-adr/0109-copy-reference-data-during-annual-migration.md	Annual Migration copies reviewed reference data	False		semester-annual	Status: accepted	# Annual Migration copies reviewed reference data Status: accepted
0110	docs/archive/adr/from-docs-adr/0110-selective-event-carry-forward.md	Annual Migration selectively carries Events forward	False		semester-annual	Status: accepted	# Annual Migration selectively carries Events forward Status: accepted
0111	docs/archive/adr/from-docs-adr/0111-carried-events-get-new-annual-records.md	Carried Events become new annual records	False		semester-annual	Status: accepted	# Carried Events become new annual records Status: accepted
0112	docs/archive/adr/from-docs-adr/0112-carried-accounts-get-new-annual-records.md	Carried Finance Accounts get new annual records	False		semester-annual	Status: accepted	# Carried Finance Accounts get new annual records Status: accepted
0113	docs/archive/adr/from-docs-adr/0113-carried-categories-get-new-annual-records.md	Carried Categories get new annual records	False		semester-annual	Status: accepted	# Carried Categories get new annual records Status: accepted
0114	docs/archive/adr/from-docs-adr/0114-sid-is-cross-year-member-identity.md	SID remains the cross-year Member identity	False		identity-auth	Status: accepted	# SID remains the cross-year Member identity Status: accepted
0115	docs/archive/adr/from-docs-adr/0115-annual-member-name-updates.md	Annual migration keeps member identity data unchanged	False		semester-annual	Status: accepted	# Annual migration keeps member identity data unchanged Status: accepted
0116	docs/archive/adr/from-docs-adr/0116-event-carry-forward-excludes-finance-history.md	Event carry-forward excludes finance history	False		semester-annual	Status: accepted	# Event carry-forward excludes finance history Status: accepted
0117	docs/archive/adr/from-docs-adr/0117-inactive-members-cannot-start-new-claims.md	Inactive migrated members cannot start new Claims	False		architecture-deploy	Status: accepted	# Inactive migrated members cannot start new Claims Status: accepted
0118	docs/archive/adr/from-docs-adr/0118-sid-uniqueness-per-annual-file.md	SID is unique within an annual file	False		identity-auth	Status: accepted	# SID is unique within an annual file Status: accepted
0119	docs/archive/adr/from-docs-adr/0119-member-creation-does-not-grant-login.md	Member creation does not grant login access	False		architecture-deploy	Status: accepted	# Member creation does not grant login access Status: accepted
0120	docs/archive/adr/from-docs-adr/0120-committee-can-reactivate-members.md	Committee and Treasurer can reactivate members	False		architecture-deploy	Status: accepted	# Committee and Treasurer can reactivate members Status: accepted
0121	docs/archive/adr/from-docs-adr/0121-member-status-changes-are-audited.md	Member status changes are audited	False		architecture-deploy	Status: accepted	# Member status changes are audited Status: accepted
0122	docs/archive/adr/from-docs-adr/0122-annual-folder-names-include-committee-year.md	Annual folder names include the committee year	False		semester-annual	Status: accepted	# Annual folder names include the committee year Status: accepted
0123	docs/archive/adr/from-docs-adr/0123-annual-folder-contains-dedicated-file-folders.md	Annual folders contain dedicated file folders	False		semester-annual	Status: accepted	# Annual folders contain dedicated file folders Status: accepted
0124	docs/archive/adr/from-docs-adr/0124-abandoned-migration-stays-resumable.md	Abandoned migration staging stays resumable	False		semester-annual	Status: accepted	# Abandoned migration staging stays resumable Status: accepted
0125	docs/archive/adr/from-docs-adr/0125-committee-year-number-auto-increments.md	Committee year number auto-increments	False		architecture-deploy	Status: accepted	# Committee year number auto-increments Status: accepted
0126	docs/archive/adr/from-docs-adr/0126-annual-spreadsheet-naming-matches-folder.md	Annual spreadsheet naming matches its folder	False		semester-annual	Status: accepted	# Annual spreadsheet naming matches its folder Status: accepted
0127	docs/archive/adr/from-docs-adr/0127-annual-folders-use-configured-parent.md	Annual folders use a configured Drive parent	False		semester-annual	Status: accepted	# Annual folders use a configured Drive parent Status: accepted
0128	docs/archive/adr/from-docs-adr/0128-closed-annual-files-are-read-only.md	Closed annual files are read-only	False		semester-annual	Status: accepted	# Closed annual files are read-only Status: accepted
0129	docs/archive/adr/from-docs-adr/0129-new-annual-file-starts-from-fresh-schema.md	New annual files start from a fresh schema	False		semester-annual	Status: accepted	# New annual files start from a fresh schema Status: accepted
0130	docs/archive/adr/from-docs-adr/0130-annual-migration-copies-users-rows.md	Annual Migration copies Users rows	False		semester-annual	Status: accepted	# Annual Migration copies Users rows Status: accepted
0131	docs/archive/adr/from-docs-adr/0131-migration-requires-an-active-treasurer.md	Migration requires an active Treasurer	False		semester-annual	Status: accepted	# Migration requires an active Treasurer Status: accepted
0132	docs/archive/adr/from-docs-adr/0132-primary-treasurer-is-preselected.md	Primary Treasurer is preselected during migration	False		architecture-deploy	Status: accepted	# Primary Treasurer is preselected during migration Status: accepted
0133	docs/archive/adr/from-docs-adr/0133-migration-does-not-change-roles.md	Migration does not change roles	False		semester-annual	Status: accepted	# Migration does not change roles Status: accepted
0134	docs/archive/adr/from-docs-adr/0134-migration-validates-treasurer-access.md	Migration validates Treasurer access before activation	False		semester-annual	Status: accepted	# Migration validates Treasurer access before activation Status: accepted
0135	docs/archive/adr/from-docs-adr/0135-opening-balances-are-prefilled-for-confirmation.md	Opening balances are prefilled for confirmation	False		architecture-deploy	Status: accepted	# Opening balances are prefilled for confirmation Status: accepted
0136	docs/archive/adr/from-docs-adr/0136-opening-balance-differences-are-audited.md	Opening-balance differences are audited	False		architecture-deploy	Status: accepted	# Opening-balance differences are audited Status: accepted
0137	docs/archive/adr/from-docs-adr/0137-carried-accounts-can-be-renamed.md	Carried accounts can be renamed per year	False		semester-annual	Status: accepted	# Carried accounts can be renamed per year Status: accepted
0138	docs/archive/adr/from-docs-adr/0138-new-accounts-require-opening-balances.md	New accounts require opening balances	False		architecture-deploy	Status: accepted	# New accounts require opening balances Status: accepted
0139	docs/archive/adr/from-docs-adr/0139-non-carried-accounts-remain-historical-references.md	Non-carried accounts remain historical references	False		semester-annual	Status: accepted	# Non-carried accounts remain historical references Status: accepted
0140	docs/archive/adr/from-docs-adr/0140-non-draft-budget-requests-block-close.md	Non-draft Budget Requests block Semester Close	False		budget	Status: accepted	# Non-draft Budget Requests block Semester Close Status: accepted
0141	docs/archive/adr/from-docs-adr/0141-budget-lines-are-semester-scoped.md	Budget Lines are Semester-scoped	False		budget	Status: accepted	# Budget Lines are Semester-scoped Status: accepted
0142	docs/archive/adr/from-docs-adr/0142-account-balances-roll-forward-between-semesters.md	Account balances roll forward between Semesters	False		accounts-income	Status: accepted	# Account balances roll forward between Semesters Status: accepted
0143	docs/archive/adr/from-docs-adr/0143-semester-close-deletes-private-drafts.md	Semester Close deletes private drafts	False		semester-annual	Status: accepted	# Semester Close deletes private drafts Status: accepted
0144	docs/archive/adr/from-docs-adr/0144-semester-close-locks-period-data.md	Semester Close locks period data	False		semester-annual	Status: accepted	# Semester Close locks period data Status: accepted
0145	docs/archive/adr/from-docs-adr/0145-semester-dates-are-configured.md	Semester dates are Treasurer-configured	False		semester-annual	Status: accepted	# Semester dates are Treasurer-configured Status: accepted
0146	docs/archive/adr/from-docs-adr/0146-semester-is-suggested-from-expense-date.md	Semester is assigned from Expense Date	False		semester-annual	Status: accepted	# Semester is assigned from Expense Date Status: accepted
0147	docs/archive/adr/from-docs-adr/0147-out-of-range-expenses-use-current-semester.md	Out-of-range expenses use the current open Semester	False		architecture-deploy	Status: accepted	# Out-of-range expenses use the current open Semester Status: accepted
0148	docs/archive/adr/from-docs-adr/0148-committee-can-correct-semester-assignment.md	Committee can correct Semester assignment	False		semester-annual	Status: accepted	# Committee can correct Semester assignment Status: accepted
